country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population
Brunei Darussalam,2004,13.6,91.7,99.0,8.8,34.8,14.4,5.412,1.302,54.0,9.8,5.0
Brunei Darussalam,2005,13.8,99.7,97.4,7.4,34.8,14.4,5.543,1.078,224.0,9.5,5.0
Brunei Darussalam,2006,14.5,100.0,100.0,6.6,34.8,30.4,5.351,1.084,240.0,9.2,5.0
Brunei Darussalam,2007,19.9,99.0,96.8,7.6,34.8,34.2,5.114,1.05,272.0,9.5,5.0
Brunei Darussalam,2008,21.2,99.0,97.0,7.0,34.8,0.0,5.097,1.481,286.0,9.5,5.0
Brunei Darussalam,2009,20.6,99.0,99.0,7.4,34.8,16.3,5.079,1.15,291.0,8.2,5.0
Brunei Darussalam,2010,22.0,95.4,94.4,6.1,34.8,15.6,7.391,1.431,311.0,7.2,5.0
Brunei Darussalam,2011,23.8,97.0,91.0,8.3,34.8,19.4,7.856,1.522,311.0,10.0,5.0
Brunei Darussalam,2012,20.8,95.4,98.6,9.3,34.8,23.2,8.195,1.47,311.0,10.3,5.0
Brunei Darussalam,2013,20.8,99.6,96.0,7.6,34.8,27.0,8.195,1.47,311.0,9.7,5.0
Brunei Darussalam,2014,20.5,99.0,97.0,7.4,34.8,27.0,8.195,1.47,311.0,8.7,5.0
Cambodia,2004,0.9,82.0,80.0,76.0,800.0,472.0,0.842,0.244,510.0,83.0,22.1
Cambodia,2005,0.4,82.0,76.9,66.0,600.0,472.0,0.842,0.244,676.0,83.0,20.8
Cambodia,2006,4.3,82.0,78.0,68.0,720.0,418.8,0.842,0.244,664.0,77.2,19.6
Cambodia,2007,133.4,82.0,79.0,70.0,641.75,365.6,0.842,0.244,697.0,71.4,18.3
Cambodia,2008,203.4,82.0,80.0,60.0,563.5,312.4,0.842,0.244,693.0,65.6,17.5
Cambodia,2009,169.6,94.0,81.0,60.0,485.25,259.2,0.851,0.237,681.0,59.8,17.1
Cambodia,2010,131.9,92.0,81.9,44.9,407.0,206.0,0.853,0.229,125.0,54.0,17.0
Cambodia,2011,148.1,94.0,93.0,36.0,407.0,194.0,0.87,0.226,817.0,43.0,16.8
Cambodia,2012,26.1,95.0,93.0,33.0,407.0,182.0,0.92,0.165,764.0,40.0,16.4
Cambodia,2013,19.1,92.0,93.0,33.0,407.0,170.0,0.956,0.168,764.0,40.0,15.7
Cambodia,2014,3.1,97.0,94.0,33.0,407.0,170.0,0.956,0.168,764.0,40.0,15.0
Indonesia,2004,1107.5,86.5,77.2,33.9,100.0,268.0,0.815,0.145,245.0,45.0,18.7
Indonesia,2005,597.6,84.6,72.5,28.9,100.0,268.0,0.815,0.145,260.0,45.0,18.8
Indonesia,2006,165.4,87.1,78.2,30.8,119.2,248.2,0.815,0.145,263.5,44.4,18.8
Indonesia,2007,99.8,86.4,75.9,31.6,138.4,228.4,0.815,0.145,267.0,43.8,18.5
