country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,infant_mortality_rate_risk_scaled,under_5_mortality_rate_risk_scaled,maternal_mortality_rate_risk_scaled,malaria_prevalence_risk_scaled,tb_prevalence_risk_scaled,undernourished_population_risk_scaled,health_risk_score,health_risk_level,government_health_expenditure_readiness_scaled,dpt_immunization_readiness_scaled,measles_immunization_readiness_scaled,nurses_midwives_density_readiness_scaled,physicians_density_readiness_scaled,readiness_score,readiness_level,priority_category,priority_rank
Brunei Darussalam,2004,13.6,91.7,99.0,8.8,34.8,14.4,5.412,1.302,54.0,9.8,5.0,0.0831353919239905,0.07578947368421053,0.030508474576271188,0.042183001627237454,0.0044874822862541325,0.0,3.9350637349660627,Low,0.008270676691729323,0.8340000000000001,0.984375,0.6271436227224009,0.6553863508178229,62.18351300463907,High,Stable / Resilient,9
Brunei Darussalam,2005,13.8,99.7,97.4,7.4,34.8,14.4,5.543,1.078,224.0,9.5,5.0,0.0665083135391924,0.07263157894736841,0.030508474576271188,0.042183001627237454,0.04463863958431743,0.0,4.274500137906448,Low,0.008395989974937344,0.994,0.9593750000000001,0.644694533762058,0.5290468133107727,62.710246740955355,High,Stable / Resilient,9
Brunei Darussalam,2006,14.5,100.0,100.0,6.6,34.8,30.4,5.351,1.084,240.0,9.2,5.0,0.05700712589073634,0.0694736842105263,0.06440677966101695,0.042183001627237454,0.04841757203589986,0.0,4.691469390423616,Low,0.008834586466165414,1.0,1.0,0.6189710610932476,0.5324309080654258,63.20473111249678,High,Stable / Resilient,9
Brunei Darussalam,2007,19.9,99.0,96.8,7.6,34.8,34.2,5.114,1.05,272.0,9.5,5.0,0.0688836104513064,0.07263157894736841,0.07245762711864408,0.042183001627237454,0.05597543693906471,0.0,5.202187584727017,Low,0.012218045112781954,0.98,0.95,0.5872186495176849,0.5132543711223915,60.85382131505717,High,Stable / Resilient,9
Brunei Darussalam,2008,21.2,99.0,97.0,7.0,34.8,0.0,5.097,1.481,286.0,9.5,5.0,0.06175771971496437,0.07263157894736841,0.0,0.042183001627237454,0.05928200283419934,0.0,3.9309050520628266,Low,0.013032581453634085,0.98,0.953125,0.5849410503751341,0.7563451776649747,65.74887618987486,High,Stable / Resilient,9
Brunei Darussalam,2009,20.6,99.0,99.0,7.4,34.8,16.3,5.079,1.15,291.0,8.2,5.0,0.0665083135391924,0.05894736842105262,0.03453389830508475,0.042183001627237454,0.060462919225318844,0.0,4.377258351964768,Low,0.012656641604010026,0.98,0.984375,0.582529474812433,0.5696559503666102,62.584341335661065,High,Stable / Resilient,9
Brunei Darussalam,2010,22.0,95.4,94.4,6.1,34.8,15.6,7.391,1.431,311.0,7.2,5.0,0.051068883610451296,0.04842105263157895,0.03305084745762712,0.042183001627237454,0.06518658478979689,0.0,3.9985061686115286,Low,0.013533834586466165,0.9080000000000001,0.9125000000000001,0.892282958199357,0.7281443880428652,69.08922361657378,High,Stable / Resilient,9
Brunei Darussalam,2011,23.8,97.0,91.0,8.3,34.8,19.4,7.856,1.522,311.0,10.0,5.0,0.07719714964370547,0.07789473684210525,0.041101694915254235,0.042183001627237454,0.06518658478979689,0.0,5.059386130301656,Low,0.014661654135338346,0.94,0.859375,0.9545819935691319,0.7794698251551043,70.9617694571915,High,Stable / Resilient,9
Brunei Darussalam,2012,20.8,95.4,98.6,9.3,34.8,23.2,8.195,1.47,311.0,10.3,5.0,0.08907363420427554,0.08105263157894736,0.04915254237288135,0.042183001627237454,0.06518658478979689,0.0,5.44413990955231,Low,0.012781954887218045,0.9080000000000001,0.9781249999999999,1.0,0.7501410039481105,72.98095917670658,High,Stable / Resilient,9
Brunei Darussalam,2013,20.8,99.6,96.0,7.6,34.8,27.0,8.195,1.47,311.0,9.7,5.0,0.0688836104513064,0.07473684210526314,0.057203389830508475,0.042183001627237454,0.06518658478979689,0.0,5.136557146735207,Low,0.012781954887218045,0.992,0.9375,1.0,0.7501410039481105,73.84845917670657,High,Stable / Resilient,9
